😀 grinning face	grinning face happy smile
😃 smiling face with open mouth	grinning face big eyes happy smile
😄 smiling face with open mouth and smiling eyes	grinning face smiling eyes happy smile
😁 grinning face with smiling eyes	beaming face smiling eyes happy grin
😆 smiling face with open mouth and tightly-closed eyes	squinting face laughing haha lol
😅 smiling face with open mouth and cold sweat	downcast face sweat nervous laugh
🤣 rolling on the floor laughing	rofl rolling on floor laughing lol
😂 face with tears of joy	face tears of joy laugh cry lol
🙂 slightly smiling face	slightly smiling face smile
🙃 upside-down face	upside down face silly sarcasm
🫠 melting face	melting face hot sarcasm
😉 winking face	winking face wink flirt
😊 smiling face with smiling eyes	smiling face blush happy shy
😇 smiling face with halo	smiling halo angel innocent
🥰 smiling face with smiling eyes and three hearts	hearts face love adore crush
😍 smiling face with heart-shaped eyes	heart eyes love crush
🤩 grinning face with star eyes	star struck excited wow amazed
😘 face throwing a kiss	kiss blowing kiss love
😗 kissing face	kissing face
😚 kissing face with closed eyes	kissing closed eyes
😙 kissing face with smiling eyes	kissing smiling eyes
🥲 smiling face with tear	tear smile grateful proud touched
😋 face savouring delicious food	savoring food yummy delicious tongue
😛 face with stuck-out tongue	tongue out silly playful
😜 face with stuck-out tongue and winking eye	winking tongue silly crazy playful
🤪 grinning face with one large and one small eye	zany crazy wild goofy
😝 face with stuck-out tongue and tightly-closed eyes	squinting tongue playful yuck
🤑 money-mouth face	money mouth rich greedy
🤗 hugging face	hug warm feelings thanks
🤭 smiling face with smiling eyes and hand covering mouth	hand over mouth oops giggle whoops
🫢 face with open eyes and hand over mouth	eyes hand mouth surprise gasp shock
🤫 face with finger covering closed lips	shushing finger lips secret quiet shh
🤔 thinking face	thinking hmm consider ponder
🫡 saluting face	saluting respect yes sir
🤐 zipper-mouth face	zipper mouth silence quiet
🤨 face with one eyebrow raised	raised eyebrow suspicious skeptic doubt
😐 neutral face	neutral face meh blank
😑 expressionless face	expressionless deadpan blank
😶 face without mouth	no mouth speechless silent
🫥 dotted line face	dotted line invisible hidden lonely
😏 smirking face	smirk smug sly flirty
😒 unamused face	unamused annoyed meh unimpressed
🙄 face with rolling eyes	rolling eyes eye roll annoyed whatever
😬 grimacing face	grimacing awkward eek yikes
🤥 lying face	lying pinocchio liar nose
😌 relieved face	relieved relieved calm phew content
😔 pensive face	pensive sad down thoughtful sorry
😪 sleepy face	sleepy tired sleepy snot
🤤 drooling face	drooling hungry desire want
😴 sleeping face	sleeping zzz asleep tired
😷 face with medical mask	mask sick covid ill
🤒 face with thermometer	thermometer sick fever ill
🤕 face with head-bandage	bandage hurt injured ouch
🤢 nauseated face	nauseated gross sick green
🤮 face with open mouth vomiting	vomiting puke sick gross
🤧 sneezing face	sneeze sneezing sick allergy
🥵 overheated face	hot heat sweating overheated
🥶 freezing face	cold freezing freezing blue
🥴 face with uneven eyes and wavy mouth	woozy dizzy drunk confused tipsy
😵 dizzy face	knocked out dizzy dead unconscious
🤯 shocked face with exploding head	mind blown explosion shocked wow
🤠 face with cowboy hat	cowboy hat hat cowboy
🥳 face with party horn and party hat	partying celebrate party birthday yay
🥸 disguised face	disguise incognito fake spy
😎 smiling face with sunglasses	sunglasses cool smooth
🤓 nerd face	nerd glasses geek smart
🧐 face with monocle	monocle inspect fancy investigate
😕 confused face	confused unsure puzzled meh
🫤 face with diagonal mouth	diagonal mouth concerned skeptical eh
😟 worried face	worried concern sad
🙁 slightly frowning face	frown slight sad
😮 face with open mouth	open mouth surprise oh wow
😯 hushed face	hushed surprised quiet whoa
😲 astonished face	astonished shocked gasp wow
😳 flushed face	flushed embarrassed blush shy oops
🥺 face with pleading eyes	pleading puppy eyes please beg
😦 frowning face with open mouth	frowning open mouth worried
😧 anguished face	anguished shock distress
😨 fearful face	fearful scared afraid shock
😰 face with open mouth and cold sweat	anxious sweat nervous worried panic
😥 disappointed but relieved face	sad relieved phew whew
😢 crying face	crying tear sad cry
😭 loudly crying face	sob loudly crying bawling sad tears
😱 face screaming in fear	scream fear horror shock scared
😖 confounded face	confounded frustrated ugh
😣 persevering face	persevere struggle trying hard
😞 disappointed face	disappointed let down sad
😓 face with cold sweat	downcast sweat stressed exhausted work
😩 weary face	weary exhausted tired drained
😫 tired face	tired exhausted fed up done
🥱 yawning face	yawn bored tired sleepy
😤 face with look of triumph	triumph steam determined huff mad
😡 pouting face	rage angry red mad furious
😠 angry face	angry mad upset
🤬 serious face with symbols covering mouth	swearing cursing symbols angry mad
😈 smiling face with horns	devil smiling horns evil mischief
👿 imp	devil angry imp demon evil
💀 skull	skull dead death skeleton
☠️ skull and crossbones	skull crossbones poison danger death
💩 pile of poo	poop crap shit
🤡 clown face	clown circus creepy
👹 japanese ogre	ogre demon red monster oni
